name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
DISCOVERY RIDGE,DIS,1979,0,0,0,
WOODBINE,WBN,1996,10945,3297,3.32,
CANYON MEADOWS,CAN,2002,8435,3124,2.7,
GARRISON WOODS,GAW,1990,0,0,0,
GLENDALE,GDL,1971,3787,957,3.96,
COUNTRY HILLS,COU,2007,3642,1401,2.6,
CHAPARRAL,CHA,1988,0,0,0,
KELVIN GROVE,KEL,1988,2175,845,2.57,
NORTH HAVEN,NHV,2011,2282,934,2.44,
HILLHURST,HIL,1992,4785,2468,1.94,
EAU CLAIRE,EAU,2011,1711,1077,1.59,
PARKLAND,PKL,2014,3769,1420,2.65,
BAYVIEW,BYV,2006,659,239,2.76,
BELVEDERE,BVD,1988,0,0,0,
SILVER SPRINGS,SIL,2006,9329,3468,2.69,
KELVIN GROVE,KEL,2000,2227,884,2.52,
RAMSAY,RAM,1996,2104,1029,2.04,
LEGACY,LEG,1979,0,0,0,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2015,2972,1031,2.88,
ERIN WOODS,ERI,1988,3613,1041,3.47,
DOVER,DOV,2010,10231,4360,2.35,
BRENTWOOD,BRE,1968,8986,2060,4.36,
BEL-AIRE,BEL,2013,442,150,2.95,
MILLRISE,MLR,2016,6886,2558,2.69,
DOWNTOWN WEST END,DNW,2012,2322,1489,1.56,
NOLAN HILL,NOL,1984,0,0,0,
UNIVERSITY HEIGHTS,UNI,1989,2965,1293,2.29,
GLAMORGAN,GLA,1988,6631,2751,2.41,
UNIVERSITY OF CALGARY,UOC,1974,1368,252,5.43,
CORAL SPRINGS,COR,2006,6166,1465,4.21,
CASTLERIDGE,CAS,1986,5253,1561,3.37,
ROYAL OAK,ROY,1969,0,0,0,
UPPER MOUNT ROYAL,UMR,1990,2686,1032,2.6,
MCKENZIE TOWNE,MCT,2003,5363,2120,2.53,
SHAWNESSY,SHN,2002,9015,2944,3.06,
KILLARNEY/GLENGARRY,KIL,2013,6909,3349,2.06,
CRANSTON,CRA,1978,0,0,0,
HAMPTONS,HAM,2006,8175,2412,3.39,
BONAVISTA DOWNS,BDO,2005,995,363,2.74,
TUXEDO PARK,TUX,1988,4205,2075,2.03,
BAYVIEW,BYV,1990,704,236,2.98,
SHAWNEE SLOPES,SHS,1987,330,103,3.2,
WINDSOR PARK,WND,1973,3080,1290,2.39,
