name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
LOWER MOUNT ROYAL,LMR,2017,3239,2178,1.49,
BOWNESS,BOW,1968,9709,2375,4.09,
WINDSOR PARK,WND,1975,2945,1361,2.16,
VARSITY,VAR,2000,12520,5197,2.41,
ERLTON,ERL,1969,991,353,2.81,
SHAWNESSY,SHN,1985,2431,808,3.01,
EAGLE RIDGE,EAG,2011,443,97,4.57,
CASTLERIDGE,CAS,1989,6228,1773,3.51,
WOODBINE,WBN,1992,11133,3272,3.4,
DISCOVERY RIDGE,DIS,2007,3804,1408,2.7,
FOREST LAWN,FLN,2010,7269,2913,2.5,
ST. ANDREWS HEIGHTS,STA,2004,1500,585,2.56,
SHAWNEE SLOPES,SHS,1988,547,183,2.99,
HAYSBORO,HAY,1992,6258,2738,2,
STRATHCONA PARK,STR,1987,3989,1319,3.02,
CHRISTIE PARK,CHR,1968,27,8,3.38,
PARKDALE,PKD,1978,1960,739,2.65,
MARLBOROUGH PARK,MPK,1996,9043,2791,3.24,
SHAGANAPPI,SHG,1978,1827,774,2.36,
HAWKWOOD,HAW,2006,10559,3304,3.2,
SOMERSET,SOM,2000,5023,1785,2.81,
PARKDALE,PKD,1981,1940,793,2.45,
MARLBOROUGH PARK,MPK,2000,9181,2884,3.18,
BANFF TRAIL,BNF,1992,3472,1584,2.19,
NEW BRIGHTON,NEB,2016,12060,4076,2.96,
TUXEDO PARK,TUX,1974,4298,1809,2.38,
SKYVIEW RANCH,SKR,1989,0,0,0,
BANKVIEW,BNK,2012,5221,3267,1.6,
CEDARBRAE,CED,1975,2286,674,3.39,
EDGEMONT,EDG,1992,12635,3760,3.36,
SANDSTONE VALLEY,SAN,1990,4229,1281,3.3,
SOUTHVIEW,SOV,1984,2413,815,2.96,
ARBOUR LAKE,ARB,1971,0,0,0,
MCKENZIE LAKE,MCK,1997,9675,2825,3.42,
PARKHILL,PKH,1996,1471,711,2.07,
NEW BRIGHTON,NEB,1971,0,0,0,
HAYSBORO,HAY,2003,6109,2816,2,
HUNTINGTON HILLS,HUN,1976,14427,3999,3.61,
ARBOUR LAKE,ARB,1987,0,0,0,
COUNTRY HILLS VILLAGE,CHV,1987,0,0,0,
NORTH GLENMORE PARK,NGM,2000,2522,982,2.57,
NEW BRIGHTON,NEB,2001,0,0,0,
AUBURN BAY,AUB,1986,15,5,3,
MACEWAN GLEN,MAC,2006,5372,1760,3.05,
HIGHWOOD,HIW,1987,2098,880,2.38,
WOODBINE,WBN,1994,11080,3300,3.36,
QUEENSLAND,QLD,1995,5619,1744,3.22,
DEER RIDGE,DRG,1992,4587,1393,3.29,
SCARBORO,SCA,1970,1101,347,3.17,
SPRINGBANK HILL,SPH,1970,0,0,0,
CRESTMONT,CRM,1969,0,0,0,
KINCORA,KCA,1998,0,0,0,
ST. ANDREWS HEIGHTS,STA,2009,1571,596,2.64,
ROSSCARROCK,RCK,1997,3371,1468,2.3,
BONAVISTA DOWNS,BDO,2009,975,367,2.66,
ACADIA,ACA,1969,10259,2309,4.44,
ROSEMONT,RMT,1986,1247,519,2.4,
SADDLE RIDGE,SAD,1970,251,56,4.48,
COACH HILL,COA,2010,3236,1422,2.28,
PARKHILL,PKH,1987,1159,587,1.97,
CEDARBRAE,CED,1989,6679,2171,3.08,
VISTA HEIGHTS,VIS,1978,1899,542,3.5,
SCARBORO/ SUNALTA WEST,SSW,1983,428,164,2.61,
UPPER MOUNT ROYAL,UMR,1970,3105,963,3.22,
CAMBRIAN HEIGHTS,CAM,2010,2123,876,2.42,
CHAPARRAL,CHA,1975,0,0,0,
INGLEWOOD,ING,1969,3669,1251,2.93,
CHINOOK PARK,CHK,2011,1703,568,3,
CORAL SPRINGS,COR,2012,5868,1483,3.96,
MILLRISE,MLR,1984,1318,434,3.04,
GREENVIEW,GRV,1982,1744,634,2.75,
WOODLANDS,WOO,1991,6316,2102,3,
BRAESIDE,BRA,1977,4186,1209,3.46,
NORTH GLENMORE PARK,NGM,1983,2896,974,2.97,
BANKVIEW,BNK,2001,5189,3188,1.63,
DOWNTOWN COMMERCIAL CORE,DNC,1968,3935,2212,1.78,
EAU CLAIRE,EAU,2006,1717,1013,1.69,
RIVERBEND,RIV,2008,10080,3406,2.96,
SUNNYSIDE,SSD,2003,3740,2258,1.66,
ROSEMONT,RMT,2002,1290,532,2.42,
STRATHCONA PARK,STR,1985,3107,1041,2.98,
SADDLE RIDGE,SAD,1990,122,38,3.21,
BAYVIEW,BYV,2001,691,242,2.86,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2017,3016,1038,2.91,
DIAMOND COVE,DIA,2004,833,271,3.07,
PARKDALE,PKD,1972,2390,735,3.25,
ROCKY RIDGE,ROC,2007,6605,2588,2.55,
CURRIE BARRACKS,CUR,2001,123,,,
CORNERSTONE,CNS,2012,0,0,0,
DISCOVERY RIDGE,DIS,1996,20,6,3.33,
BEL-AIRE,BEL,1986,497,152,3.27,
WILDWOOD,WLD,1986,2839,1041,2.73,
RED CARPET,RED,2016,1727,890,1.94,
CURRIE BARRACKS,CUR,1969,0,,,
RED CARPET,RED,1974,492,139,3.54,
INGLEWOOD,ING,1988,2530,1225,2.07,
COUNTRY HILLS VILLAGE,CHV,2002,163,100,1.63,
RIDEAU PARK,RID,1970,677,325,2.08,
EVANSTON,EVN,1968,0,0,0,
WALDEN,WAL,2007,0,0,0,
NORTH HAVEN,NHV,1983,2610,825,3.16,
MCKENZIE LAKE,MCK,1978,0,0,0,
CRANSTON,CRA,2009,9140,3288,2.78,
HIGHWOOD,HIW,2001,2137,908,2.35,
ELBOYA,EYA,1992,1620,697,2.32,
HAWKWOOD,HAW,1986,3132,965,3.25,
MARTINDALE,MRT,2017,14708,3959,3.72,
WINDSOR PARK,WND,1999,3714,2120,1.75,
MANCHESTER,MAN,2004,227,141,1.61,
QUEENS PARK VILLAGE,QPK,2008,450,183,2.46,
PUMP HILL,PUM,1973,198,19,10.42,
CASTLERIDGE,CAS,1996,6413,1784,3.59,
POINT MCKAY,POI,1981,1107,545,2.03,
WHITEHORN,WHI,1987,11461,3246,3.53,
POINT MCKAY,POI,2002,1362,814,1.67,
DALHOUSIE,DAL,2009,9104,3593,2.53,
CANYON MEADOWS,CAN,2013,7851,3141,2.5,
DEER RUN,DRN,2012,5341,2074,2.58,
CANYON MEADOWS,CAN,1971,1856,473,3.92,
CAMBRIAN HEIGHTS,CAM,1978,2677,872,3.07,
ROSSCARROCK,RCK,1969,3847,1123,3.43,
HAMPTONS,HAM,1976,0,0,0,
SPRUCE CLIFF,SPR,1979,3207,1276,2.51,
DOUGLASDALE/GLEN,DDG,1973,0,0,0,
CITYSCAPE,CSC,1968,0,0,0,
SHAWNEE SLOPES,SHS,2001,1559,567,2.75,
VALLEY RIDGE,VAL,2001,3139,1046,3,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1973,3079,882,3.49,
HAYSBORO,HAY,2016,7086,3413,2,
PARKLAND,PKL,1968,0,0,0,
WALDEN,WAL,1996,0,0,0,
PUMP HILL,PUM,1969,73,21,3.48,
NORTH HAVEN,NHV,2005,2350,928,2.53,
FOREST LAWN,FLN,1991,8446,2956,2.86,
UNIVERSITY OF CALGARY,UOC,1977,1383,253,5.47,
SOUTH CALGARY,SOC,1991,3353,1652,2.03,
ROSSCARROCK,RCK,1987,3461,1442,2.4,
ALTADORE,ALT,2002,6407,2972,2.16,
EAGLE RIDGE,EAG,1974,571,99,5.77,
HAYSBORO,HAY,1998,6125,2748,2,
RED CARPET,RED,1977,1252,410,3.05,
ERIN WOODS,ERI,1994,5888,1758,3.35,
ASPEN WOODS,ASP,1973,0,0,0,
MARLBOROUGH,MRL,1998,8971,2993,3,
SAGE HILL,SGH,2010,707,256,2.76,
SOUTHWOOD,SOW,1983,7229,2392,3.02,
HAMPTONS,HAM,1986,0,0,0,
SCARBORO,SCA,1978,1006,342,2.94,
ELBOW PARK,EPK,1985,3261,1177,2.77,
BEL-AIRE,BEL,1975,521,137,3.8,
CORAL SPRINGS,COR,1991,0,0,0,
BRITANNIA,BRT,2010,753,291,2.59,
SIGNAL HILL,SIG,1971,84,24,3.5,
KINCORA,KCA,1975,0,0,0,
SILVER SPRINGS,SIL,1999,10166,3469,2.93,
SAGE HILL,SGH,2007,75,24,3.13,
SUNDANCE,SDC,1982,632,200,3.16,
DOWNTOWN EAST VILLAGE,DNE,2015,2838,1145,2.48,
GLAMORGAN,GLA,1995,6336,2754,2.3,
HIDDEN VALLEY,HID,1980,0,0,0,
HIDDEN VALLEY,HID,1969,0,0,0,
WHITEHORN,WHI,2017,11985,3627,3.3,
COUNTRY HILLS VILLAGE,CHV,1986,0,0,0,
EVANSTON,EVN,2008,3751,1224,3.06,
BRITANNIA,BRT,2005,745,283,2.63,
DOWNTOWN COMMERCIAL CORE,DNC,2002,6780,4439,1.53,
DOWNTOWN WEST END,DNW,2007,2635,1564,1.68,
SADDLE RIDGE,SAD,1986,107,34,3.15,
OGDEN,OGD,1982,11548,3758,3.07,
BELVEDERE,BVD,2011,0,0,0,
MCKENZIE TOWNE,MCT,1986,0,0,0,
PANORAMA HILLS,PAN,1982,0,0,0,
NORTH HAVEN UPPER,NHU,2001,692,242,2.86,
WILDWOOD,WLD,2007,2614,1029,2.54,
REDSTONE,RSN,1996,0,0,0,
SHAWNESSY,SHN,2000,8560,2659,3.22,
ROYAL OAK,ROY,1988,15,7,2.14,
BEL-AIRE,BEL,1969,559,123,4.54,
WILDWOOD,WLD,1976,3519,1041,3.38,
KINGSLAND,KIN,2007,4239,2117,2,
HIDDEN VALLEY,HID,2015,11900,3839,3.1,
AUBURN BAY,AUB,1979,0,0,0,
RANCHLANDS,RAN,1986,8407,2820,2.98,
ROSSCARROCK,RCK,1975,3636,1292,2.81,
DOWNTOWN COMMERCIAL CORE,DNC,1979,5609,4077,1.38,
PUMP HILL,PUM,2014,1666,541,3.08,
DEER RIDGE,DRG,1998,4866,1580,3.08,
DOWNTOWN COMMERCIAL CORE,DNC,2001,6638,4411,1.5,
GLENBROOK,GBK,2011,6893,3080,2.24,
CITADEL,CIT,1972,0,0,0,
SPRINGBANK HILL,SPH,1996,431,140,3.08,
POINT MCKAY,POI,1992,1442,811,1.78,
WALDEN,WAL,1987,0,0,0,
ROSEMONT,RMT,2014,1241,534,2.32,
SHAWNEE SLOPES,SHS,1979,14,4,3.5,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2011,2927,1021,2.87,
VARSITY,VAR,2002,12378,5146,2.41,
FAIRVIEW,FAI,2000,3897,1565,2.49,
FOREST HEIGHTS,FHT,1974,4533,1085,4.18,
SPRUCE CLIFF,SPR,2016,4583,2235,2.05,
MOUNT PLEASANT,MOP,2004,4680,2234,2.09,
MONTGOMERY,MON,1986,4075,1587,2.57,
HIGHWOOD,HIW,1975,2841,859,3.31,
PALLISER,PAL,2015,3516,1675,2.1,
HIDDEN VALLEY,HID,1977,0,0,0,
NOLAN HILL,NOL,1968,0,0,0,
ROSSCARROCK,RCK,2001,3350,1484,2.26,
CURRIE BARRACKS,CUR,1998,0,,,
BONAVISTA DOWNS,BDO,1995,1090,367,2.97,
PALLISER,PAL,1990,3284,1455,2.26,
WALDEN,WAL,1992,0,0,0,
SUNDANCE,SDC,1980,0,0,0,
SIGNAL HILL,SIG,2004,13699,5029,2.72,
INGLEWOOD,ING,1976,2711,1083,2.5,
PINERIDGE,PIN,1979,8667,2808,3.09,
SUNDANCE,SDC,1974,0,0,0,
ARBOUR LAKE,ARB,2010,10710,3821,2.8,
BAYVIEW,BYV,2010,630,233,2.7,
MAYLAND HEIGHTS,MAL,1990,6270,2473,2.54,
APPLEWOOD PARK,APP,1991,1092,309,3.53,
BRIDLEWOOD,BRI,2006,7928,2822,2.81,
BRIDGELAND/RIVERSIDE,BRD,2013,5560,2816,1.97,
UNIVERSITY OF CALGARY,UOC,2015,2968,961,3.09,
LAKE BONAVISTA,LKB,1990,12275,3651,3.36,
MARLBOROUGH,MRL,2014,8989,3076,2.92,
HIGHWOOD,HIW,2009,2165,902,2.4,
CHAPARRAL,CHA,2003,5736,1879,3.05,
ROXBORO,ROX,1980,456,162,2.81,
COUGAR RIDGE,CGR,2008,5233,1755,2.98,
MISSION,MIS,1982,3444,2161,1.59,
CRESCENT HEIGHTS,CRE,1977,5402,2713,1.99,
UNIVERSITY DISTRICT,UND,1996,0,0,0,
UNIVERSITY OF CALGARY,UOC,1988,1437,406,3.54,
SCARBORO/ SUNALTA WEST,SSW,2015,390,150,2.6,
DOWNTOWN WEST END,DNW,2009,2288,1421,1.61,
TEMPLE,TEM,2016,11142,3540,3.15,
ALBERT PARK/RADISSON HEIGHTS,ALB,1971,4445,1164,3.82,
PENBROOKE MEADOWS,PEN,1983,9626,2700,3.57,
SOUTH CALGARY,SOC,1992,3379,1682,2.01,
THORNCLIFFE,THO,1983,10207,3571,2.86,
SOUTHWOOD,SOW,1975,6886,1853,3.72,
BEDDINGTON HEIGHTS,BED,1987,12792,4017,3.18,
KINCORA,KCA,1982,0,0,0,
HIGHLAND PARK,HPK,1979,3912,1643,2.38,
ACADIA,ACA,2007,10792,4910,2.2,
VISTA HEIGHTS,VIS,1970,2387,580,4.12,
MILLRISE,MLR,2011,6717,2465,2.72,
STRATHCONA PARK,STR,2002,6572,2143,3.07,
SCARBORO/ SUNALTA WEST,SSW,1975,520,167,3.11,
TUSCANY,TUS,2011,18838,6337,2.97,
WHITEHORN,WHI,1993,12097,3311,3.65,
ALTADORE,ALT,1985,6616,2690,2.46,
NORTH GLENMORE PARK,NGM,2002,2462,973,2.53,
SPRUCE CLIFF,SPR,2015,4677,2288,2.04,
MARLBOROUGH,MRL,1970,2046,491,4.17,
TEMPLE,TEM,1996,11823,3429,3.45,
PARKDALE,PKD,1987,1762,808,2.18,
ASPEN WOODS,ASP,1969,0,0,0,
NORTH HAVEN,NHV,2007,2359,934,2.53,
MIDNAPORE,MID,1983,6696,2061,3.25,
BEL-AIRE,BEL,1976,510,137,3.72,
PANORAMA HILLS,PAN,1997,174,61,2.85,
DEER RUN,DRN,1980,1993,647,3.08,
SOUTHVIEW,SOV,1969,3232,786,4.11,
BONAVISTA DOWNS,BDO,1985,1215,359,3.38,
RED CARPET,RED,1991,1311,503,2.61,
PALLISER,PAL,1987,3083,1324,2.33,
PARKDALE,PKD,1989,1668,789,2.11,
SCARBORO,SCA,2013,898,321,2.8,
WEST HILLHURST,WHL,1995,4900,2453,2,
ABBEYDALE,ABB,2011,5700,1903,3,
HAYSBORO,HAY,2004,5908,2756,2,
BANKVIEW,BNK,1993,4868,2943,1.65,
EAU CLAIRE,EAU,1989,737,455,1.62,
BANFF TRAIL,BNF,1968,4883,1452,3.36,
NORTH HAVEN UPPER,NHU,1969,0,0,0,
COVENTRY HILLS,COV,1979,0,0,0,
MACEWAN GLEN,MAC,2010,5114,1745,2.93,
GARRISON WOODS,GAW,1983,0,0,0,
LEGACY,LEG,1971,0,0,0,
GREENWOOD/GREENBRIAR,GRE,1973,0,0,0,
CURRIE BARRACKS,CUR,1982,11,,,
RANCHLANDS,RAN,1984,8125,2707,3,
MCKENZIE LAKE,MCK,1989,2449,775,3.16,
COUNTRY HILLS,COU,2017,3806,1389,2.74,
NOLAN HILL,NOL,1999,0,0,0,
TARADALE,TAR,1995,1520,473,3.21,
EVANSTON,EVN,2017,15885,4916,3.23,
MAYFAIR,MAF,1995,557,183,3.04,
DOWNTOWN EAST VILLAGE,DNE,1981,1140,604,1.89,
GREENWOOD/GREENBRIAR,GRE,2007,989,489,2.02,
UNIVERSITY DISTRICT,UND,2006,0,0,0,
NORTH HAVEN UPPER,NHU,1976,61,18,3.39,
DIAMOND COVE,DIA,2011,716,267,2.68,
HIGHLAND PARK,HPK,1988,3731,1779,2.1,
CHINATOWN,CHN,2013,1600,1106,1.45,
WOODBINE,WBN,1986,8082,2457,3.29,
WOODLANDS,WOO,2004,6615,2273,2.91,
SHERWOOD,SHW,1969,0,0,0,
DOWNTOWN WEST END,DNW,1973,713,385,1.85,
SPRINGBANK HILL,SPH,2012,8731,2969,2.94,
EAGLE RIDGE,EAG,1982,539,106,5.08,
BELVEDERE,BVD,1993,0,0,0,
ST. ANDREWS HEIGHTS,STA,1983,2151,709,3.03,
MANCHESTER,MAN,2003,216,143,1.51,
CHAPARRAL,CHA,1982,0,0,0,
SPRUCE CLIFF,SPR,1999,3064,1293,2.37,
SHAWNESSY,SHN,1981,0,0,0,
MIDNAPORE,MID,2010,6978,2652,2.63,
WINSTON HEIGHTS/MOUNTVIEW,WIN,2004,3668,1675,2.19,
LINCOLN PARK,LPK,1985,317,149,2.13,
GLENDALE,GDL,1986,2806,1068,2.63,
MILLRISE,MLR,1986,1801,584,3.08,
RIVERBEND,RIV,2006,10319,3447,2.99,
BANKVIEW,BNK,1987,4985,3049,1.63,
MISSION,MIS,2015,4494,3007,1.49,
CAMBRIAN HEIGHTS,CAM,1982,2532,889,2.85,
MARLBOROUGH,MRL,2015,9080,3099,2.93,
SUNDANCE,SDC,1970,0,0,0,
MILLRISE,MLR,2007,6417,2267,2.83,
UNIVERSITY DISTRICT,UND,2015,0,0,0,
MCKENZIE TOWNE,MCT,1985,0,0,0,
REDSTONE,RSN,1972,0,0,0,
OAKRIDGE,OAK,1980,7004,2014,3.48,
WALDEN,WAL,2008,0,0,0,
DOUGLASDALE/GLEN,DDG,2006,11847,3949,3,
SILVERADO,SVO,2004,24,11,2.18,
SPRINGBANK HILL,SPH,1988,0,0,0,
PALLISER,PAL,2013,3402,1658,2.05,
KINGSLAND,KIN,1979,4580,2053,2.23,
UPPER MOUNT ROYAL,UMR,1996,2586,1025,2.52,
WOODBINE,WBN,1979,0,0,0,
DOVER,DOV,1994,11208,3761,2.98,
SCARBORO,SCA,2002,905,337,2.69,
TARADALE,TAR,2010,15404,4090,3.77,
CHINATOWN,CHN,1997,1275,753,1.69,
WOODLANDS,WOO,2014,6237,2354,2.65,
VISTA HEIGHTS,VIS,1972,2372,580,4.09,
BRAESIDE,BRA,2003,6382,2510,2.54,
COUNTRY HILLS VILLAGE,CHV,2010,2318,1262,1.84,
SUNDANCE,SDC,1983,1207,400,3.02,
SUNDANCE,SDC,2008,11061,3346,3.31,
BAYVIEW,BYV,1988,750,237,3.16,
SUNALTA,SNA,1987,2828,1769,1.6,
HARVEST HILLS,HAR,1981,0,0,0,
MARTINDALE,MRT,1972,0,0,0,
BANFF TRAIL,BNF,1997,3441,1586,2.17,
CORAL SPRINGS,COR,1994,1061,268,3.96,
GREENWOOD/GREENBRIAR,GRE,2002,998,474,2.11,
BRITANNIA,BRT,2017,668,285,2.34,
CANYON MEADOWS,CAN,1987,8365,2735,3.06,
HAMPTONS,HAM,1998,3847,1131,3.4,
DALHOUSIE,DAL,1969,986,254,3.88,
DISCOVERY RIDGE,DIS,2008,4107,1524,2.69,
CRANSTON,CRA,1976,0,0,0,
SIGNAL HILL,SIG,1974,73,20,3.65,
UNIVERSITY DISTRICT,UND,1986,0,0,0,
PINERIDGE,PIN,1994,10192,3302,3.09,
WILDWOOD,WLD,1996,2651,1035,2.56,
HAWKWOOD,HAW,2003,10879,3295,3.3,
BEDDINGTON HEIGHTS,BED,1976,0,0,0,
LAKEVIEW,LKV,1975,8012,2147,3.73,
MARLBOROUGH PARK,MPK,2013,8479,2926,2.9,
MIDNAPORE,MID,2016,7099,2704,2.63,
TUXEDO PARK,TUX,1992,4237,2118,2,
GLAMORGAN,GLA,1976,5773,1675,3.45,
CRANSTON,CRA,1970,0,0,0,
ALBERT PARK/RADISSON HEIGHTS,ALB,1974,4130,1151,3.59,
COPPERFIELD,CPF,2015,11434,3968,2.88,
QUEENS PARK VILLAGE,QPK,1971,0,0,0,
SCARBORO,SCA,1982,974,342,2.85,
MOUNT PLEASANT,MOP,1978,4783,2092,2.29,
NEW BRIGHTON,NEB,1992,0,0,0,
WALDEN,WAL,1982,0,0,0,
WOODLANDS,WOO,2010,6208,2275,2.73,
GLENBROOK,GBK,1983,7383,2730,2.7,
UNIVERSITY HEIGHTS,UNI,1996,2924,1313,2.23,
PALLISER,PAL,1988,3108,1351,2.3,
HAMPTONS,HAM,1999,5006,1506,3.32,
GARRISON WOODS,GAW,2012,0,0,0,
ACADIA,ACA,2011,10615,4848,2.19,
BOWNESS,BOW,2011,10700,4875,2.19,
UNIVERSITY DISTRICT,UND,2002,0,0,0,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2012,2954,1032,2.86,
BANKVIEW,BNK,1976,5028,2555,1.97,
MAHOGANY,MAH,2002,0,0,0,
OAKRIDGE,OAK,1989,7191,2265,3.17,
MOUNT PLEASANT,MOP,2016,5665,2510,2.26,
SCARBORO,SCA,1973,1079,346,3.12,
RENFREW,REN,1997,5412,2679,2.02,
KINGSLAND,KIN,1973,5237,1882,2.78,
DISCOVERY RIDGE,DIS,1975,0,0,0,
DOWNTOWN WEST END,DNW,1981,336,225,1.49,
PARKLAND,PKL,1987,4841,1346,3.6,
DALHOUSIE,DAL,1990,10087,3707,2.72,
ROXBORO,ROX,1976,455,167,2.72,
PATTERSON,PAT,2016,4258,1926,2.21,
MANCHESTER,MAN,1993,237,155,1.53,
ACADIA,ACA,1975,12973,3599,3.6,
PANORAMA HILLS,PAN,1973,0,0,0,
WEST HILLHURST,WHL,1998,5076,2515,2.02,
RANCHLANDS,RAN,1997,8501,2920,2.91,
GLENDALE,GDL,1996,2789,1084,2.57,
BONAVISTA DOWNS,BDO,2008,959,361,2.66,
CRESTMONT,CRM,2008,1298,408,3.18,
MAHOGANY,MAH,1977,0,0,0,
KINCORA,KCA,2005,1212,416,2.91,
RUNDLE,RUN,1999,11780,3459,3.41,
ROSSCARROCK,RCK,1994,3255,1407,2.31,
SKYVIEW RANCH,SKR,2014,6284,2027,3.1,
GLENBROOK,GBK,1995,6886,2851,2.42,
ALTADORE,ALT,1988,6442,2682,2.4,
COUNTRY HILLS VILLAGE,CHV,2011,2342,1276,1.84,
NORTH GLENMORE PARK,NGM,2005,2404,972,2.47,
RIDEAU PARK,RID,1987,630,330,1.91,
ROCKY RIDGE,ROC,2010,7093,2709,2.62,
LINCOLN PARK,LPK,1976,54,7,7.71,
WEST HILLHURST,WHL,1973,6099,2167,2.81,
HIDDEN VALLEY,HID,1997,5084,1705,2.98,
LAKEVIEW,LKV,1983,6854,2252,3.04,
KINCORA,KCA,2002,0,0,0,
HILLHURST,HIL,1969,5055,1846,2.74,
LAKEVIEW,LKV,1997,5805,2304,2.52,
ABBEYDALE,ABB,1968,0,0,0,
MANCHESTER,MAN,1983,134,59,2.27,
MACEWAN GLEN,MAC,1991,3818,1226,3.11,
LOWER MOUNT ROYAL,LMR,2001,2986,2014,1.48,
MONTGOMERY,MON,2016,4358,1766,2.47,
THORNCLIFFE,THO,1985,9856,3532,2.79,
CHAPARRAL,CHA,2006,8134,2543,3.2,
LEGACY,LEG,2006,13,7,1.86,
EAGLE RIDGE,EAG,1986,533,107,4.98,
ROYAL OAK,ROY,2001,713,238,3,
CHARLESWOOD/COLLINGWOOD,,2010,5671,2358,2.41,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
ASPEN WOODS,ASP,1980,0,0,0,
WOODLANDS,WOO,2001,6986,2365,2.95,
SHERWOOD,SHW,1996,0,0,0,
GLENBROOK,GBK,1999,7049,2935,2.4,
THORNCLIFFE,THO,2017,8474,3520,2.41,
ABBEYDALE,ABB,1981,3455,1087,3.18,
GARRISON GREEN,GAG,1991,674,203,3.32,
MCKENZIE LAKE,MCK,1996,8072,2339,3.45,
DEER RIDGE,DRG,2010,3927,1363,2.88,
WEST SPRINGS,WSP,2016,9785,3082,3.17,
CEDARBRAE,CED,1970,61,15,4.07,
GREENVIEW,GRV,2015,2113,1057,2,
MEADOWLARK PARK,MEA,2014,632,260,2.43,
NOLAN HILL,NOL,2000,0,0,0,
MAYLAND HEIGHTS,MAL,2001,6046,2531,2.39,
MEADOWLARK PARK,MEA,1991,686,293,2.34,
BRENTWOOD,BRE,1983,7239,2449,2.96,
GARRISON WOODS,GAW,2016,3188,1377,2.32,Newly created from part of ALTADORE (ALT)
GLENBROOK,GBK,1997,6918,2902,2.38,
BANFF TRAIL,BNF,1980,3529,1473,2.4,
DEER RUN,DRN,2002,6224,2081,2.99,
BELTLINE,BLN,1987,15212,9664,1.57,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
KINGSLAND,KIN,1978,4590,2000,2.3,
CHINOOK PARK,CHK,2012,1707,575,2.97,
BRAESIDE,BRA,1993,6944,2489,2.79,
SILVER SPRINGS,SIL,1971,138,39,3.54,
CLIFF BUNGALOW,CLI,1996,2009,1288,1.56,
EAU CLAIRE,EAU,2008,1638,993,1.65,
OAKRIDGE,OAK,1986,7230,2202,3.28,
COPPERFIELD,CPF,1986,0,0,0,
CRANSTON,CRA,1981,0,0,0,
FOREST HEIGHTS,FHT,2011,6185,2078,2.98,
CEDARBRAE,CED,2011,6264,2558,2.45,
VARSITY,VAR,2011,12021,5280,2.28,
MACEWAN GLEN,MAC,1969,0,0,0,
FOREST HEIGHTS,FHT,1995,6598,1991,3.31,
WHITEHORN,WHI,1969,3,1,3,
RICHMOND,RIC,2011,4113,1959,2.1,
SHAWNESSY,SHN,1976,0,0,0,
SCARBORO/ SUNALTA WEST,SSW,2011,397,156,2.54,
OAKRIDGE,OAK,1985,7169,2169,3.31,
COPPERFIELD,CPF,2016,12571,4544,2.77,
CITYSCAPE,CSC,1997,0,0,0,
CHINOOK PARK,CHK,1992,1762,580,3.04,
NORTH HAVEN,NHV,1970,3246,755,4.3,
ALBERT PARK/RADISSON HEIGHTS,ALB,2000,6415,2414,2.66,
CRESCENT HEIGHTS,CRE,1990,5778,3261,1.77,
CURRIE BARRACKS,CUR,1981,0,,,
LOWER MOUNT ROYAL,LMR,2006,3288,2184,1.51,
MONTGOMERY,MON,1995,4023,1563,2.57,
REDSTONE,RSN,2007,0,0,0,
DOUGLASDALE/GLEN,DDG,1990,1685,541,3.11,
SCARBORO/ SUNALTA WEST,SSW,1977,495,166,2.98,
TEMPLE,TEM,2001,11784,3465,3.4,
CRESCENT HEIGHTS,CRE,1993,5572,3197,1.74,
WESTGATE,WGT,2010,3121,1289,2.42,
ELBOW PARK,EPK,1997,3474,1175,2.96,
THORNCLIFFE,THO,1992,9711,3566,2.72,
CEDARBRAE,CED,2016,6177,2524,2.45,
LAKEVIEW,LKV,1998,5847,2307,2.53,
SPRINGBANK HILL,SPH,2003,2801,961,2.91,
BANFF TRAIL,BNF,2006,3639,1625,2.24,
BRITANNIA,BRT,1999,778,303,2.57,
KILLARNEY/GLENGARRY,KIL,1969,7601,2359,3.22,
SHAWNEE SLOPES,SHS,1977,34,9,3.78,
HARVEST HILLS,HAR,1968,0,0,0,
EAU CLAIRE,EAU,1985,790,488,1.62,
BEDDINGTON HEIGHTS,BED,1995,13167,4110,3.2,
CORNERSTONE,CNS,1975,0,0,0,
UPPER MOUNT ROYAL,UMR,1992,2593,1023,2.53,
DOUGLASDALE/GLEN,DDG,1992,2981,951,3.13,
WINSTON HEIGHTS/MOUNTVIEW,WIN,2009,3632,1672,2.17,
MILLRISE,MLR,2000,5128,1760,2.91,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1996,2633,901,2.92,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2007,2940,1059,2.78,
ALTADORE,ALT,2009,8723,4037,2.16,
DIAMOND COVE,DIA,1991,123,39,3.15,
QUEENSLAND,QLD,1998,5519,1794,3.08,
NOLAN HILL,NOL,1996,0,0,0,
ROXBORO,ROX,1968,515,166,3.1,
NORTH GLENMORE PARK,NGM,1992,2504,972,2.58,
EAGLE RIDGE,EAG,1987,550,109,5.05,
